Start signing,Current Question,You signed...,flag,username,timestamp
/Users/srikarp/124honors/Group32-FA23/Project/flagged/Start signing/ce397ff857e9f246da89915037b26a85a5a7dcb4/tmph4vjwvp8.png,What is the sign for 'A'?,/Users/srikarp/124honors/Group32-FA23/Project/flagged/You signed.../0804ab28b0ebce4b0eeecfe1b01ffc2f99728d0c/tmpycy28uvq.png,,,2023-12-02 18:38:17.404703
/Users/srikarp/124honors/Group32-FA23/Project/flagged/Start signing/c006d32161d75a36229a62c1d6f9e7e7ae76b2ae/tmpmjuyjiu1.png,What is the sign for 'A'?,/Users/srikarp/124honors/Group32-FA23/Project/flagged/You signed.../e78340bf086e7b116b4c498a9f31e8bf7af4e630/tmpmh7z6aiy.png,,,2023-12-02 18:38:19.342280
